Created with UCDetector 2.0.0	2021-02-08 14:18:53	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
CustomerSimulator.views.StoreView.displayStart(StoreView.java:28)	Change visibility of Method "StoreView.displayStart(Store)" to private	StoreView.displayStart(Store)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.views.StoreView.displayEvents(StoreView.java:43)	Change visibility of Method "StoreView.displayEvents(Store)" to private	StoreView.displayEvents(Store)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.views.StoreView.displayResult(StoreView.java:85)	Change visibility of Method "StoreView.displayResult(Store)" to private	StoreView.displayResult(Store)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.views.View.<init>(View.java:6)	Class "View" has 0 references	View	org.ucdetector.analyzeMarkerReference	
random.ExponentialRandomStream.<init>(ExponentialRandomStream.java:5)	Change visibility of Class "ExponentialRandomStream" to default - May cause compile errors!	ExponentialRandomStream	org.ucdetector.analyzeMarkerVisibilityDefault	
random.ExponentialRandomStream.ExponentialRandomStream(ExponentialRandomStream.java:9)	Change visibility of Constructor "ExponentialRandomStream.ExponentialRandomStream(double,long)" to private	ExponentialRandomStream.ExponentialRandomStream(double,long)	org.ucdetector.analyzeMarkerVisibilityPrivate	
random.ExponentialRandomStream.ExponentialRandomStream(ExponentialRandomStream.java:14)	Constructor "ExponentialRandomStream.ExponentialRandomStream(double)" has 0 references	ExponentialRandomStream.ExponentialRandomStream(double)	org.ucdetector.analyzeMarkerReference	
random.ExponentialRandomStream.next(ExponentialRandomStream.java:19)	Change visibility of Method "ExponentialRandomStream.next()" to private	ExponentialRandomStream.next()	org.ucdetector.analyzeMarkerVisibilityPrivate	
random.UniformRandomStream.<init>(UniformRandomStream.java:5)	Change visibility of Class "UniformRandomStream" to default - May cause compile errors!	UniformRandomStream	org.ucdetector.analyzeMarkerVisibilityDefault	
random.UniformRandomStream.UniformRandomStream(UniformRandomStream.java:9)	Change visibility of Constructor "UniformRandomStream.UniformRandomStream(double,double,long)" to private	UniformRandomStream.UniformRandomStream(double,double,long)	org.ucdetector.analyzeMarkerVisibilityPrivate	
random.UniformRandomStream.UniformRandomStream(UniformRandomStream.java:15)	Constructor "UniformRandomStream.UniformRandomStream(double,double)" has 0 references	UniformRandomStream.UniformRandomStream(double,double)	org.ucdetector.analyzeMarkerReference	
random.UniformRandomStream.next(UniformRandomStream.java:21)	Change visibility of Method "UniformRandomStream.next()" to private	UniformRandomStream.next()	org.ucdetector.analyzeMarkerVisibilityPrivate	
